id;name;release;memory;gpuclock;memoryclock;price
1;GeForce GTX 1080 Ti;2017;4136;377;4405;16649
2;GeForce GTX 1050 Ti;2016;2363;1442;2958;8122
3;GeForce GTX 1060 6 GB;2016;8710;845;1184;19381
4;GeForce GTX 1080;2016;3868;2726;1118;3769
5;GeForce GTX 1070;2016;8484;532;1185;11661
6;Radeon RX 580;2017;7436;1267;3582;15017
7;GeForce GTX 1050;2016;3858;2751;1165;17600
8;Radeon RX 560;2017;8023;480;4236;6889
9;GeForce GTX 750 Ti;2014;7695;2885;4700;9823
10;GeForce GT 1030;2017;9293;1813;1837;3488
11;GeForce GTX 1070 Ti;2017;9517;2800;4946;17614
12;GeForce GTX 970;2014;9665;785;709;14985
13;Radeon RX Vega 64;2017;8441;1237;2915;5055
14;Xbox One X GPU;2017;8672;2899;4479;11940
15;Playstation 4 Pro GPU;2016;742;1197;2952;13661
16;Radeon RX 570;2017;3750;1519;988;8044
17;Radeon RX 480;2016;2792;1407;3699;17419
18;Radeon RX 550;2017;5332;1127;1236;16047
19;GeForce GTX 980 Ti;2015;2728;403;712;9175
20;GeForce GTX 1060 3 GB;2016;4965;2832;2930;14236
21;Radeon R9 280X;2013;1349;1731;1736;17116
22;GeForce GTX 660;2012;4169;1952;2570;12289
23;GeForce GTX 760;2013;3237;2791;4496;3425
24;GeForce GTX 980;2014;2087;2794;1852;1420
25;Radeon RX Vega 56;2017;4082;1007;2677;16000
26;GeForce GTX 550 Ti;2011;3602;802;4200;5560
27;GeForce GTX 770;2013;2723;1230;3762;13979
28;Quadro GV100;2018;5449;1685;745;12627
29;Radeon RX 460;2016;7907;1899;2734;9200
30;Radeon R9 290X;2013;8323;1836;2003;7484
31;GeForce GT 730;2014;7716;144;3598;10234
32;GeForce GTX 650;2012;5865;2904;4872;10071
33;Radeon R9 270X;2013;3510;2509;3371;12746
34;Radeon RX 470;2016;6042;525;2119;17016
35;Radeon HD 7770 GHz Edition;2012;6337;2423;2749;7129
36;TITAN V;2017;6616;579;2932;3566
37;GeForce GTX 750;2014;2298;932;2128;16407
38;Radeon HD 7850;2012;827;393;2270;10588
39;Radeon HD 7970;2011;3507;1012;1714;9449
40;TITAN X Pascal;2016;2083;860;4453;19751
41;GeForce MX150;2017;5023;621;645;16219
42;GeForce GTX 1980;2017;8382;1175;3079;2081
43;GeForce GTX 1981;2027;6039;2875;1239;19300
44;GeForce GTX 1982;2029;7944;480;4916;10991
45;GeForce GTX 1983;2030;4463;2234;1911;18238
46;GeForce GTX 1984;2031;1933;1258;3095;11142
47;GeForce GTX 1985;2021;800;1202;1146;1928
48;GeForce GTX 1986;2015;4892;1152;1714;3611
49;GeForce GTX 1987;2025;8587;2945;598;17811
50;GeForce GTX 1988;2039;9705;1285;663;4037
51;GeForce GTX 1989;2034;9413;1948;3740;7565
52;GeForce GTX 1990;2036;1737;2962;4984;8803
53;GeForce GTX 1991;2037;9427;668;1481;13084
54;GeForce GTX 1992;2031;5050;2449;4250;17169
55;GeForce GTX 1993;2030;6705;1409;3811;501
56;GeForce GTX 1994;2020;5826;2335;3959;1071
57;GeForce GTX 1995;2035;6356;2628;409;10696
58;GeForce GTX 1996;2031;5526;146;2599;13540
59;GeForce GTX 1997;2025;5797;1039;4336;14030
60;GeForce GTX 1998;2021;7503;750;3361;10411
61;GeForce GTX 1999;2029;8459;2602;1510;8919
62;GeForce GTX 2000;2018;3224;1008;2642;8138
63;GeForce GTX 2001;2018;6164;595;2537;19233
64;GeForce GTX 2002;2038;5692;506;389;15109
65;GeForce GTX 2003;2019;880;1435;1813;10900
66;GeForce GTX 2004;2038;8752;2368;3442;13866
67;GeForce GTX 2005;2037;2154;265;2934;16349
68;GeForce GTX 2006;2029;4062;1612;457;8637
69;GeForce GTX 2007;2021;4558;343;4474;2496
70;GeForce GTX 2008;2040;3570;443;2240;14265
71;GeForce GTX 2009;2029;2822;2576;1880;7044
72;GeForce GTX 2010;2022;8166;2850;893;16180
